"model_variant","a","v_mixed_gain","t0","szr","sv","st0","v_mixed_loss","penalty","fit","time","BIC","v","t0_mixed_gain","t0_mixed_loss","a_mixed_gain","a_mixed_loss"
"model10",1.74664020618557,NA,0.408348453608247,NA,NA,NA,NA,0,110.559602061856,0.00221649484536082,234.636766059682,0.0926567010309278,NA,NA,NA,NA
"model11",1.55805670103093,NA,0.54719381443299,NA,NA,0.347812371134021,NA,0,107.294982474227,0.215216494845361,232.613380863081,0.102161855670103,NA,NA,NA,NA
"model2",1.54668958333333,0.120952083333333,0.557410416666667,NA,NA,0.366879166666667,0.082715625,0,107.825675,0.331416666666667,238.274255506698,NA,NA,NA,NA,NA
"model4",1.71487395833333,0.186375,NA,0.586575,1.06741770833333,0.31191875,0.078334375,0,100.843089583333,14.16853125,237.882827977384,NA,0.662414583333333,0.613775,NA,NA
"model5",1.539709375,0.118157291666667,NA,NA,NA,0.303138541666667,0.0884375,0,103.045772916667,0.366052083333333,233.239032441371,NA,0.592069791666667,0.546817708333333,NA,NA
"model6",1.68697708333333,0.103948958333333,NA,NA,NA,NA,0.07680625,0,105.528023958333,0.00440625,233.678953423365,NA,0.48880625,0.437696875,NA,NA
"model7",NA,0.201585416666667,0.611452083333333,0.34518125,1.40635625,0.391466666666667,0.101580208333333,0,100.990546875,13.2974479166667,238.177742560717,NA,NA,NA,1.84140833333333,1.7936625
"model8",NA,0.103254166666667,0.575166666666667,NA,NA,0.378490625,0.103983333333333,0,102.345826041667,0.44296875,231.839138691371,NA,NA,NA,1.55281354166667,1.4988125
"model9",NA,0.104753125,0.4223,NA,NA,NA,0.0765895833333333,0,106.289347916667,0.00461458333333333,235.201601340031,NA,NA,NA,1.779884375,1.7090125
