"model_variant","a","v_pure_gain","t0","szr","sv","st0","v_pure_mixed","v_pure_loss","penalty","fit","time","BIC","v","t0_pure_gain","t0_pure_mixed","t0_pure_loss","a_pure_gain","a_pure_mixed","a_pure_loss"
"model1",1.88859270833333,2.37305104166667,0.654853125,0.326344791666667,0.850684375,0.415514583333333,1.09118125,2.12554270833333,0,88.8966645833333,22.0212083333333,217.268495155006,NA,NA,NA,NA,NA,NA,NA
"model10",1.95174020618557,NA,0.452778350515464,NA,NA,NA,NA,NA,0,107.354327835052,0.00354639175257732,229.433394447408,1.01206701030928,NA,NA,NA,NA,NA,NA
"model11",1.65236494845361,NA,0.614487628865979,NA,NA,0.413123711340206,NA,NA,0,99.7710113402062,0.399711340206186,219.175007716819,1.13189690721649,NA,NA,NA,NA,NA,NA
"model2",1.70636770833333,1.63991145833333,0.617161458333333,NA,NA,0.420288541666667,0.75768125,1.46507916666667,0,91.5718833333333,0.75253125,212.750141157921,NA,NA,NA,NA,NA,NA,NA
"model3",2.03735208333333,1.38468958333333,0.450376041666667,NA,NA,NA,0.707780208333333,1.26653541666667,0,99.7787302083333,0.00683333333333333,224.229439159379,NA,NA,NA,NA,NA,NA,NA
"model4",1.85450104166667,2.18965416666667,NA,0.334033333333333,0.791186458333333,0.303658333333333,1.07906979166667,1.97106666666667,0,82.1554416666667,104.768416666667,213.654840818757,NA,0.640905208333333,0.6874625,0.654808333333333,NA,NA,NA
"model5",1.688171875,1.58200729166667,NA,NA,NA,0.289640625,0.778251041666667,1.43999895833333,0,84.6968989583333,0.88175,208.868963905006,NA,0.597305208333333,0.646272916666667,0.612569791666667,NA,NA,NA
"model6",1.87470416666667,1.40009166666667,NA,NA,NA,NA,0.731415625,1.2777,0,88.887809375,0.0114895833333333,212.316388989797,NA,0.506607291666667,0.54523125,0.516792708333333,NA,NA,NA
"model8",NA,1.65434583333333,0.618526041666667,NA,NA,0.383910416666667,0.766264583333333,1.56314479166667,0,86.9819104166667,1.15414583333333,213.438986821672,NA,NA,NA,NA,1.696971875,1.73051354166667,1.78131666666667
"model9",NA,1.45100625,0.460828125,NA,NA,NA,0.703510416666667,1.35099895833333,0,94.6258145833333,0.0106770833333333,223.792399406463,NA,NA,NA,NA,2.09209375,2.01879791666667,2.123253125
