"model","n","mean_fit","mean_BIC","median_BIC","n_participants","v","t0","a","zr","sv","szr","st0","d","p"
"model1",96,88.8966645833333,217.268495155006,235.208335294035,6,"C","-","-","0.5","-","-","-",0,0
"model10",97,107.354327835052,229.433394447408,239.95133389078,13.1818181818182,"-","-","-","0.5","0","0","0",0,0
"model11",97,99.7710113402062,219.175007716819,238.826453198304,11,"-","-","-","0.5","0","0","-",0,0
"model2",96,91.5718833333333,212.750141157921,228.855369184057,12,"C","-","-","0.5","0","0","-",0,0
"model3",96,99.7787302083333,224.229439159379,230.998457653381,7,"C","-","-","0.5","0","0","0",0,0
"model4",96,82.1554416666667,213.654840818757,235.046936163533,7,"C","C","-","0.5","-","-","-",0,0
"model5",96,84.6968989583333,208.868963905006,228.194748930827,19,"C","C","-","0.5","0","0","-",0,0
"model6",96,88.887809375,212.316388989797,226.469668497292,12,"C","C","-","0.5","0","0","0",0,0
"model8",96,86.9819104166667,213.438986821672,234.624448930827,6,"C","-","C","0.5","0","0","-",0,0
"model9",96,94.6258145833333,223.792399406463,236.3086815651,3,"C","-","C","0.5","0","0","0",0,0
